No,Name,x,y,Value1,Value2,Value3,Value4,Value5,Value6
69,BouncyPlatform,-2,131,5,-,-,-,-,-
70,BouncyPlatform,2,131,4,-,-,-,-,-
71,BouncyPlatform,3,133,4,-,-,-,-,-
72,BouncyPlatform,-1,135,4,-,-,-,-,-
73,BouncyPlatform,-2,138,5,-,-,-,-,-
74,BouncyPlatform,1,139,4,-,-,-,-,-
75,BouncyPlatform,-2,145,5,-,-,-,-,-
76,BouncyPlatform,2,150,4,-,-,-,-,-
77,BouncyPlatform,0,138,4,-,-,-,-,-
78,BouncyPlatform,-1,143,4,-,-,-,-,-
79,BouncyPlatform,1,41,4,-,-,-,-,-
80,BouncyPlatform,-1,142,4,-,-,-,-,-
81,BouncyPlatform,-2,34,4,2,0,2,-,-
82,BouncyPlatform,3,52,4,1,0,2,-,-
83,BouncyPlatform,-2,66,4,2,0,2,-,-
84,BouncyPlatform,3,81,4,2,0,2,-,-
85,BouncyPlatform,3,101,4,2,0,2,-,-
86,BouncyPlatform,-2,107,4,2,0,2,-,-
87,BouncyPlatform,3,115,4,2,0,2,-,-
88,BouncyPlatform,2,142,4,1,0,2,-,-
89,BouncyPlatform,-2,60,4,1,0,2,-,-
90,BouncyPlatform,1,26,4,1,0,2,-,-
91,BouncyPlatform,-1,13,4,1,0,2,-,-
92,BouncyPlatform,3,6,4,2,0,2,-,-
93,BouncyPlatform,2,47,4,0,1,2,-,-
94,BouncyPlatform,-2,57,4,0,2,2,-,-
95,BouncyPlatform,-2,87,4,0,2,2,-,-
96,BouncyPlatform,-1,106,4,0,2,2,-,-
97,BouncyPlatform,-2,94,4,0,2,2,-,-
98,BouncyPlatform,-2,72,4,0,2,2,-,-
99,BouncyPlatform,-1,64,4,0,1,2,-,-
100,BouncyPlatform,2,43,4,0,1,2,-,-
101,BouncyPlatform,1,38,4,0,1,2,-,-
102,BouncyPlatform,1,19,4,0,2,2,-,-
103,BouncyPlatform,1,136,4,0,2,2,-,-
104,BouncyPlatform,2,146,4,0,1,2,-,-
105,BouncyPlatform,-1,149,4,0,1,2,-,-
106,CrackPlatform,3,12,,,,,,
107,CrackPlatform,0,30,,,,,,
108,CrackPlatform,1,35,,,,,,
109,CrackPlatform,1,68,,,,,,
110,CrackPlatform,2,77,,,,,,
111,CrackPlatform,1,99,,,,,,
112,CrackPlatform,1,111,,,,,,
113,CrackPlatform,3,139,,,,,,
114,CrackPlatform,0,144,,,,,,
115,CrackPlatform,1,146,,,,,,
116,CrackPlatform,-1,15,,,,,,
117,RandomSpawner,-2,11,PinWheel,-,SpiderWeb,-,0,
118,RandomSpawner,0,11,PinWheel,-,SpiderWeb,-,0,
119,RandomSpawner,-2,12,PinWheel,-,SpiderWeb,-,0,
120,RandomSpawner,0,77,PinWheel,-,SpiderWeb,-,1,
121,RandomSpawner,-2,79,PinWheel,-,SpiderWeb,-,1,
122,RandomSpawner,-2,80,PinWheel,-,SpiderWeb,-,1,
123,RandomSpawner,1,93,PinWheel,-,SpiderWeb,-,2,
124,RandomSpawner,1,94,PinWheel,-,SpiderWeb,-,2,
125,RandomSpawner,2,97,PinWheel,-,SpiderWeb,-,2,
126,Rocket,2,57,,,,,,
127,Rocket,2,70,,,,,,
128,Magnet,2,33,,,,,,
129,Magnet,0,138,,,,,,
130,ItemBox,2,50,,,,,,
131,ItemBox,-1,75,,,,,,
132,ItemBox,0,127,,,,,,
