No,Name,x,y,Value1,Value2,Value3,Value4,Value5,Value6
72,BouncyPlatform,-1,165,3,-,-,-,-,-
73,BouncyPlatform,-2,168,4,-,-,-,-,-
74,BouncyPlatform,1,168,4,-,-,-,-,-
75,BouncyPlatform,3,169,5,-,-,-,-,-
76,BouncyPlatform,0,170,3,-,-,-,-,-
77,BouncyPlatform,0,11,4,-,1,2,-,-
78,BouncyPlatform,-2,14,4,-,2,2,-,-
79,BouncyPlatform,2,15,4,-,1,2,-,-
80,BouncyPlatform,-1,30,4,-,2,2,-,-
81,BouncyPlatform,-2,45,4,-,2,2,-,-
82,BouncyPlatform,-1,56,4,-,2,2,-,-
83,BouncyPlatform,-2,67,4,-,2,2,-,-
84,BouncyPlatform,-2,74,4,-,2,2,-,-
85,BouncyPlatform,-1,115,4,-,2,2,-,-
86,BouncyPlatform,-1,130,4,-,2,2,-,-
87,BouncyPlatform,-2,138,4,-,2,2,-,-
88,BouncyPlatform,1,140,4,-,1,2,-,-
89,BouncyPlatform,0,155,4,-,2,2,-,-
90,BouncyPlatform,-2,163,4,-,1,2,-,-
91,BouncyPlatform,0,166,4,-,2,2,-,-
92,BouncyPlatform,1,172,4,-,1,2,-,-
93,BouncyPlatform,1,21,4,1,0,2,-,-
94,BouncyPlatform,3,30,4,2,0,2,-,-
95,BouncyPlatform,3,37,4,1,0,2,-,-
96,BouncyPlatform,1,63,4,2,0,2,-,-
97,BouncyPlatform,-1,77,4,1,0,2,-,-
98,BouncyPlatform,1,81,4,2,0,2,-,-
99,BouncyPlatform,-1,105,4,1,0,2,-,-
100,BouncyPlatform,-1,111,4,2,0,2,-,-
101,BouncyPlatform,3,117,4,1,0,2,-,-
102,BouncyPlatform,1,123,4,1,0,2,-,-
103,BouncyPlatform,0,133,4,1,0,2,-,-
104,BouncyPlatform,1,148,4,1,0,2,-,-
105,BouncyPlatform,2,100,4,-,-,-,105:107:109,106:108:110
106,BouncyPlatform,3,100,4,-,-,-,0:105:107:109,106:108:110
107,BouncyPlatform,1,103,4,-,-,-,105:107:109,106:108:110
108,BouncyPlatform,2,103,4,-,-,-,0:105:107:109,106:108:110
109,BouncyPlatform,2,106,4,-,-,-,105:107:109,106:108:110
110,BouncyPlatform,3,106,4,-,-,-,0:105:107:109,106:108:110
111,CrackPlatform,-1,7,,,,,,
112,CrackPlatform,1,7,,,,,,
113,CrackPlatform,-2,11,,,,,,
114,CrackPlatform,-1,34,,,,,,
115,CrackPlatform,-2,59,,,,,,
116,CrackPlatform,-1,82,,,,,,
117,CrackPlatform,0,95,,,,,,
118,CrackPlatform,-1,101,,,,,,
119,CrackPlatform,-2,105,,,,,,
120,CrackPlatform,-2,118,,,,,,
121,CrackPlatform,3,132,,,,,,
122,CrackPlatform,2,134,,,,,,
123,CrackPlatform,0,145,,,,,,
124,CrackPlatform,3,150,,,,,,
125,CrackPlatform,0,163,,,,,,
126,CrackPlatform,-1,174,,,,,,
127,RandomSpawner,3,11,PinWheel,-,SpiderWeb,-,0,
128,RandomSpawner,-2,12,PinWheel,-,SpiderWeb,-,0,
129,RandomSpawner,0,12,PinWheel,-,SpiderWeb,-,0,
130,RandomSpawner,-2,89,PinWheel,-,SpiderWeb,-,1,
131,RandomSpawner,-2,90,PinWheel,-,SpiderWeb,-,1,
132,RandomSpawner,-1,92,PinWheel,-,SpiderWeb,-,1,
133,RandomSpawner,0,148,PinWheel,-,SpiderWeb,-,2,
134,RandomSpawner,-2,149,PinWheel,-,SpiderWeb,-,2,
135,RandomSpawner,-2,150,PinWheel,-,SpiderWeb,-,2,
136,Rocket,1,43,,,,,,
137,Rocket,3,119,,,,,,
138,Magnet,-1,72,,,,,,
139,Magnet,1,91,,,,,,
140,ItemBox,0,31,,,,,,
141,ItemBox,2,73,,,,,,
142,ItemBox,-1,147,,,,,,
